m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	c.catchsampleid	specimenid	individualproducttype	individualweight	individualvolume	lengthresolution	length	fat	fatpercent	sex	maturationstage	specialstage	eggstage	moultingstage	spawningfrequency	stomachfillfield	stomachfilllab	digestion	liver	liverparasite	gillworms	swollengills	fungusheart	fungusspores	fungusouter	blackspot	vertebraecount	agingstructureread	agingstructureweight	age	spawningage	spawningzones	readability	otolithtype	otolithedge	otolithcentre	calibration	growthzone1	growthzone2	growthzone3	growthzone4	growthzone5	growthzone6	growthzone7	growthzone8	growthzone9	growthzonestotal	coastalannuli	oceanicannuli	blindreading	readingdate	agereader	preferredagereading	tagid	tagtype	gonadweight	liverweight	stomachweight	diameter	mantlelength	carapacelength	headlength	snouttoendoftail	snouttoendsqueezed	snouttoanalfin	snouttodorsalfin	forklength	snouttoboneknob	lengthwithouthead	carapacewidth	rightclawwidth	rightclawlength	rightclawheight	meroswidth	meroslength	japanesecut	abdomenwidth	tissuesamplenumber	morphologytype	individualcomment	cond
4	2020	1019	9	2207	2	23	1	0.471		2	0.41																																																																										0.6710409883963603
4	2020	1019	9	2207	2	24	1	0.398		2	0.375																																																																										0.7398304535847301
4	2020	1019	9	2207	2	25	1	0.437		2	0.395																																																																										0.6957769513436272
4	2020	1019	9	2207	2	26	1	0.568		2	0.43																																																																										0.702085494437027
4	2020	1019	9	2207	2	27	1	0.281		2	0.35																																																																										0.6415477053004384
4	2020	1019	9	2207	2	28	1	0.414		2	0.38																																																																										0.7397858541083997
4	2020	1019	9	2207	2	29	1	0.347		2	0.365																																																																										0.6991292051088565
4	2020	1019	9	2207	3	1	1	0.248		2	0.31																																																																										0.8126464
4	2020	1019	9	2207	3	2	1	0.189		2	0.29																																																																										0.7552386250611103
4	2020	1019	9	2207	3	3	1	0.012		2	0.125																																																																										0.5789628423457042
4	2020	1019	9	2207	3	4	1	0.024		2	0.15																																																																										0.676708623188725
4	2020	1019	9	2207	3	5	1	0.016		2	0.13																																																																										0.6878161166600617
4	2020	1019	9	2207	3	6	1	0.304		2	0.32																																																																										0.9063259745589602
4	2020	1019	9	2207	3	7	1	0.022		2	0.145																																																																										0.6855618149859528
4	2020	1019	9	2207	3	8	1	0.162		2	0.275																																																																										0.7580992241328254
