m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	catchsampleid	commonname	catchcategory	catchpartnumber	aphia	scientificname	identification	foreignobject	sampletype	group	conservation	catchproducttype	raisingfactor	catchweight	catchvolume	catchcount	abundancecategory	sampleproducttype	lengthmeasurement	lengthsampleweight	lengthsamplevolume	lengthsamplecount	specimensamplecount	agesamplecount	agingstructure	parasite	stomach	intestine	tissuesample	samplerecipient	catchcomment
4	2019	LMEL	13	2515	6	torsk	TORSK	1	126436	Gadus morhua			21		1	1	1.0	20.54		10		1	E	20.54		10	6		2						
4	2019	LMEL	13	2515	7	brosme	BROSME	1	126447	Brosme brosme			20		1	1	1.0	16.449		31		1	E	16.449		31	31								
4	2019	LMEL	13	2515	8	hyse	HYSE	1	126437	Melanogrammus aeglefinus			21		1	1	1.0	13.3		65		1	E	12.0		59	5		2						
4	2019	LMEL	13	2515	9	vanlig uer	VANLIG UER	1	151324	Sebastes norvegicus			21		1	1	1.0	1.45		2		1	E	1.45		2	2		2						
4	2019	LMEL	13	2515	11	lusuer	LUSUER	1	127255	Sebastes viviparus			10		1	1	1.0	4.52		54		1	E	4.52		54									
4	2019	LMEL	13	2515	12	hyse	HYSE	2	126437	Melanogrammus aeglefinus			21		1	1	1.0	0.44		33		1	E	0.44		33	3		2						
4	2019	LMEL	13	2515	13	torsk	TORSK	2	126436	Gadus morhua			10		1	1	1.0	0.028		10		1	E	0.028		10									
4	2019	LMEL	13	2515	14	kveite	KVEITE	1	127138	Hippoglossus hippoglossus			20		1	1	1.0	1.76		1		1	E	1.76		1	1								
4	2019	LMEL	13	2515	15	hvitting	HVITTING	1	126438	Merlangius merlangus			20		1	1	1.0	1.14		4		1	E	1.14		4	4								
4	2019	LMEL	13	2515	16	lomre	LOMRE	1	127140	Microstomus kitt			20		1	1	1.0	1.03		2		1	E	1.03		2	2								
4	2019	LMEL	13	2515	17	gapeflyndre	GAPEFLYNDRE	1	127137	Hippoglossoides platessoides			20		1	1	1.0	1.331		37		1	E	1.079		30	30								
4	2019	LMEL	13	2515	18	nordlig knurrulke	NORDLIG KNURRULKE	1	127205	Triglops murrayi			20		1	1	1.0	0.086		7		1	E	0.086		7	7								
4	2019	LMEL	13	2515	19	rundskate	RUNDSKATE	1	105894	Rajella fyllae			20		1	1	1.0	0.004		1		1	E	0.004		1	1								
4	2019	LMEL	13	2515	20	krokulke	KROKULKE	1	127193	Artediellus atlanticus			20		1	1	1.0	0.179		38		1	E	0.14		30	30								
4	2019	LMEL	13	2516	9	uerslekten	UERSLEKTEN	1	126175	Sebastes			10	10	1	1	1.0	0.002		13		1	E	0.002		13									
4	2019	LMEL	13	2516	8	firetrådet tangbrosme	FIRETRÅDET TANGBROSME	1	126450	Enchelyopus cimbrius			10	10	1	1	1.0	0.001		1		1	E	0.001		1									
4	2019	LMEL	13	2516	10	laksesild	LAKSESILD	1	127312	Maurolicus muelleri			10		1	1	1.0	0.001		1		1	J	0.001		1									
4	2019	LMEL	13	2516	7	brosme	BROSME	1	126447	Brosme brosme			10	10	1	1	1.0	0.002		3		1	E	0.002		3									
4	2019	LMEL	13	2516	6	øyepål	ØYEPÅL	1	126444	Trisopterus esmarkii			10	10	1	1	1.0	0.007		25		1	E	0.007		25									
4	2019	LMEL	13	2516	3	lodde	LODDE	1	126735	Mallotus villosus			10	10	1	1	13.97	0.056		560		1	E	0.003		30									
4	2019	LMEL	13	2516	5	hyse	HYSE	1	126437	Melanogrammus aeglefinus			10	10	1	1	1.0	0.083		12		1	E	0.083		12									
4	2019	LMEL	13	2516	4	torsk	TORSK	1	126436	Gadus morhua			10	10	1	1	1.0	0.2		97		1	E	0.062		30									
4	2019	LMEL	13	2516	2	glassmanet	GLASSMANET	2	135306	Aurelia aurita			90		1	1	1.0	2.295		63															
4	2019	LMEL	13	2516	1	brennmanet	BRENNMANET	1	135301	Cyanea capillata			90		1	1	1.0	3.05																	
4	2019	LMEL	13	2516	12	Hyperia galba	HYPERIA GALBA	1	103251	Hyperia galba			91		1	1	1.0	5.0E-4		2			E	5.0E-4		2									
4	2019	LMEL	13	2516	11	Gonatus fabricii	GONATUS FABRICII	1	153097	Gonatus fabricii			91		1	1	1.0	0.0077		3		1	B	0.0077		3									
4	2019	LMEL	13	2516	13	Thysanoessa inermis	THYSANOESSA INERMIS	1	110708	Thysanoessa inermis			91		1	1	13.97	0.251		1740		1	E	0.015		104									
4	2019	LMEL	13	2517	1	gråsteinbit	GRÅSTEINBIT	1	126758	Anarhichas lupus			20		1	1	1.0	2.236		24		1	E	2.236		24	24								
4	2019	LMEL	13	2517	2	krokulke	KROKULKE	1	127193	Artediellus atlanticus			20		1	1	1.0	0.098		26		1	E	0.098		26	26								
4	2019	LMEL	13	2517	3	nordlig knurrulke	NORDLIG KNURRULKE	1	127205	Triglops murrayi			20		1	1	1.0	0.217		22		1	E	0.217		22	22								
4	2019	LMEL	13	2517	4	langhalet langebarn	LANGHALET LANGEBARN	1	154675	Lumpenus lampretaeformis			20		1	1	1.0	0.261		17		1	E	0.261		17	17								
4	2019	LMEL	13	2517	5	øyepål	ØYEPÅL	1	126444	Trisopterus esmarkii			20		1	1	1.0	153.9		3990		1	E	1.157		30	30								
4	2019	LMEL	13	2517	6	lusuer	LUSUER	1	127255	Sebastes viviparus			20		1	1	1.0	0.938		26		1	E	0.938		26	26								
